=== BAT DAU DONG BO CHI TIET DS DON VAY ===
JobId: sync_loan_details_20260624_161620
Input file: output/loans/list_loan_all.txt
Master file: output/loans/list_loan_detail_all.txt
Existing detail count before run: 0
Invalid master lines: 0
Total input: 66484
Already processed: 0
Need sync: 66484
Skipped missing/invalid: 0
API method: GET
API endpoint: /digital-sale-admin/api/v1/admin/loans/detail
Concurrency: 1
Delay: 500ms
Timeout: 15000ms
Max retries: 0
[7550/66484] success: 7550 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[7600/66484] success: 7600 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[7650/66484] success: 7650 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[7700/66484] success: 7700 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[7750/66484] success: 7750 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[7800/66484] success: 7800 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[7850/66484] success: 7850 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[7900/66484] success: 7900 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[7950/66484] success: 7950 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[8000/66484] success: 8000 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[8050/66484] success: 8050 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[8100/66484] success: 8100 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[8150/66484] success: 8150 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[8200/66484] success: 8200 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[8250/66484] success: 8250 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[8300/66484] success: 8300 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[8350/66484] success: 8350 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[8400/66484] success: 8400 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[8450/66484] success: 8450 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[8500/66484] success: 8500 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[8550/66484] success: 8550 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[8600/66484] success: 8600 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[8650/66484] success: 8650 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[8700/66484] success: 8700 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[8750/66484] success: 8750 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[8800/66484] success: 8800 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[8850/66484] success: 8850 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[8900/66484] success: 8900 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[8950/66484] success: 8950 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9000/66484] success: 9000 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9050/66484] success: 9050 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9100/66484] success: 9100 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9150/66484] success: 9150 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9200/66484] success: 9200 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9250/66484] success: 9250 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9300/66484] success: 9300 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9350/66484] success: 9350 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9400/66484] success: 9400 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9450/66484] success: 9450 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9500/66484] success: 9500 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9550/66484] success: 9550 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9600/66484] success: 9600 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9650/66484] success: 9650 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9700/66484] success: 9700 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9750/66484] success: 9750 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9800/66484] success: 9800 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9850/66484] success: 9850 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9900/66484] success: 9900 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[9950/66484] success: 9950 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10000/66484] success: 10000 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10050/66484] success: 10050 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10100/66484] success: 10100 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10150/66484] success: 10150 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10200/66484] success: 10200 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10250/66484] success: 10250 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10300/66484] success: 10300 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10350/66484] success: 10350 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10400/66484] success: 10400 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10450/66484] success: 10450 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10500/66484] success: 10500 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10550/66484] success: 10550 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10600/66484] success: 10600 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10650/66484] success: 10650 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10700/66484] success: 10700 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10750/66484] success: 10750 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10800/66484] success: 10800 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10850/66484] success: 10850 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10900/66484] success: 10900 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[10950/66484] success: 10950 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11000/66484] success: 11000 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11050/66484] success: 11050 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11100/66484] success: 11100 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11150/66484] success: 11150 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11200/66484] success: 11200 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11250/66484] success: 11250 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11300/66484] success: 11300 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11350/66484] success: 11350 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11400/66484] success: 11400 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11450/66484] success: 11450 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11500/66484] success: 11500 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11550/66484] success: 11550 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11600/66484] success: 11600 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11650/66484] success: 11650 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11700/66484] success: 11700 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11750/66484] success: 11750 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11800/66484] success: 11800 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11850/66484] success: 11850 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11900/66484] success: 11900 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[11950/66484] success: 11950 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[12000/66484] success: 12000 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[12050/66484] success: 12050 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[12100/66484] success: 12100 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[12150/66484] success: 12150 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[12200/66484] success: 12200 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[12250/66484] success: 12250 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[12300/66484] success: 12300 | failed: 0 | skipped: 0 | speed: 1.61 req/s
[12350/66484] success: 12350 | failed: 0 | skipped: 0 | speed: 1.61 req/s
[12400/66484] success: 12400 | failed: 0 | skipped: 0 | speed: 1.61 req/s
[12450/66484] success: 12450 | failed: 0 | skipped: 0 | speed: 1.61 req/s
[12500/66484] success: 12500 | failed: 0 | skipped: 0 | speed: 1.61 req/s
[12550/66484] success: 12550 | failed: 0 | skipped: 0 | speed: 1.61 req/s
[12600/66484] success: 12600 | failed: 0 | skipped: 0 | speed: 1.61 req/s
[12650/66484] success: 12650 | failed: 0 | skipped: 0 | speed: 1.61 req/s
[12700/66484] success: 12700 | failed: 0 | skipped: 0 | speed: 1.61 req/s
[12750/66484] success: 12750 | failed: 0 | skipped: 0 | speed: 1.61 req/s
[12800/66484] success: 12800 | failed: 0 | skipped: 0 | speed: 1.61 req/s
